name,symbol,currency,amount,date
"Vocera Communications, Inc.",VCRA,JPY,-0.84,1604833435000
Moody's Corporation,MCO,EUR,-180.27,1599440140000
"Rocky Brands, Inc.",RCKY,PHP,-78.07,1592920431000
Neff Corporation,NEFF,RUB,-57.89,1604909973000
"Calix, Inc",CALX,PHP,-166.94,1608279942000
"Colony NorthStar, Inc.",CLNS^A.CL,IDR,60.21,1579968726000
Hersha Hospitality Trust,HT^E,RUB,-62.77,1604547750000
Stellar Acquisition III Inc.,STLR,EUR,170.21,1590618809000
"Blackrock MuniHoldings Quality Fund, Inc.",MUS,RUB,-51.40,1583542178000
"Trex Company, Inc.",TREX,RUB,-83.20,1581870736000
"Nasdaq, Inc.",NDAQ,EUR,-12.87,1605521811000
"Delta Natural Gas Company, Inc.",DGAS,SEK,-139.61,1591501207000
Avery Dennison Corporation,AVY,IDR,74.17,1583693524000
"Capitol Federal Financial, Inc.",CFFN,PAB,-81.07,1582562992000
Strattec Security Corporation,STRT,EUR,-40.18,1582263011000
"Aduro Biotech, Inc.",ADRO,KPW,55.02,1608793329000
Qiagen N.V.,QGEN,EUR,92.10,1589903787000
"Illumina, Inc.",ILMN,THB,15.42,1605366447000
BlackRock New Jersey Municipal Income Trust,BNJ,EUR,-136.32,1608772289000
iSectors Post-MPT Growth ETF,PMPT,IDR,-66.30,1584977573000
Willis Towers Watson Public Limited Company,WLTW,USD,32.84,1594438362000
"STARWOOD PROPERTY TRUST, INC.",STWD,EUR,46.59,1586177536000
"CryoLife, Inc.",CRY,CNY,-151.17,1589361993000
PHH Corp,PHH,BOB,-80.26,1607166725000
OCI Partners LP,OCIP,IDR,-17.92,1606432992000
KeyCorp,KEY^I,CNY,184.38,1608242698000
Harvest Capital Credit Corporation,HCAP,IDR,-199.97,1592830772000
"ViaSat, Inc.",VSAT,IDR,152.97,1594019238000
First Trust Capital Strength ETF,FTCS,CNY,-76.18,1588743746000
iPath US Treasury 2-year Bear ETN,DTUS,RUB,-100.96,1603845387000
"Monarch Casino & Resort, Inc.",MCRI,SEK,-31.31,1581171142000
"MyoKardia, Inc.",MYOK,CNY,-10.48,1607443577000
"Gabelli Equity Trust, Inc. (The)",GAB,CNY,-175.96,1582508605000
"Celestica, Inc.",CLS,CNY,7.24,1583729521000
Union Pacific Corporation,UNP,BRL,-191.43,1587064720000
OFG Bancorp,OFG^A,EUR,132.46,1606811456000
Bank of America Corporation,BAC^Y,USD,119.56,1579124281000
Blackrock New York Municipal Income Quality Trust,BSE,IDR,136.85,1599620147000
Liberty Broadband Corporation,LBRDK,IDR,-125.02,1605284358000
Kimco Realty Corporation,KIM^I,IDR,-192.71,1598332429000
"Knoll, Inc.",KNL,CNY,43.87,1585990347000
"Hercules Capital, Inc.",HTGC,MXN,44.14,1609120292000
Mattersight Corporation,MATR,NGN,166.97,1587662378000
"ABAXIS, Inc.",ABAX,CNY,39.68,1593265982000
First Trust Japan AlphaDEX Fund,FJP,EUR,-140.32,1583438762000
Global Eagle Entertainment Inc.,ENT,CNY,9.46,1587146582000
Hospitality Properties Trust,HPT,CNY,105.17,1591280153000
"Interactive Brokers Group, Inc.",IBKR,THB,24.26,1582066678000
"Delcath Systems, Inc.",DCTH,PHP,-76.03,1592095672000
Artesian Resources Corporation,ARTNA,PHP,157.60,1581240904000
"West Pharmaceutical Services, Inc.",WST,NOK,-28.90,1606482884000
Domtar Corporation,UFS,BRL,49.20,1594754628000
WEX Inc.,WEX,THB,-198.23,1608821157000
