0,"Vocera Communications, Inc.",VCRA,JPY,-0.84,1604833435000
1,Moody's Corporation,MCO,EUR,-180.27,1599440140000
2,"Rocky Brands, Inc.",RCKY,PHP,-78.07,1592920431000
3,Neff Corporation,NEFF,RUB,-57.89,1604909973000
4,"Calix, Inc",CALX,PHP,-166.94,1608279942000
5,"Colony NorthStar, Inc.",CLNS^A.CL,IDR,60.21,1579968726000
6,Hersha Hospitality Trust,HT^E,RUB,-62.77,1604547750000
7,Stellar Acquisition III Inc.,STLR,EUR,170.21,1590618809000
8,"Blackrock MuniHoldings Quality Fund, Inc.",MUS,RUB,-51.4,1583542178000
9,"Trex Company, Inc.",TREX,RUB,-83.2,1581870736000
10,"Nasdaq, Inc.",NDAQ,EUR,-12.87,1605521811000
11,"Delta Natural Gas Company, Inc.",DGAS,SEK,-139.61,1591501207000
12,Avery Dennison Corporation,AVY,IDR,74.17,1583693524000
13,"Capitol Federal Financial, Inc.",CFFN,PAB,-81.07,1582562992000
14,Strattec Security Corporation,STRT,EUR,-40.18,1582263011000
15,"Aduro Biotech, Inc.",ADRO,KPW,55.02,1608793329000
16,Qiagen N.V.,QGEN,EUR,92.1,1589903787000
17,"Illumina, Inc.",ILMN,THB,15.42,1605366447000
18,BlackRock New Jersey Municipal Income Trust,BNJ,EUR,-136.32,1608772289000
19,iSectors Post-MPT Growth ETF,PMPT,IDR,-66.3,1584977573000
20,Willis Towers Watson Public Limited Company,WLTW,USD,32.84,1594438362000
21,"STARWOOD PROPERTY TRUST, INC.",STWD,EUR,46.59,1586177536000
22,"CryoLife, Inc.",CRY,CNY,-151.17,1589361993000
23,PHH Corp,PHH,BOB,-80.26,1607166725000
24,OCI Partners LP,OCIP,IDR,-17.92,1606432992000
25,KeyCorp,KEY^I,CNY,184.38,1608242698000
26,Harvest Capital Credit Corporation,HCAP,IDR,-199.97,1592830772000
27,"ViaSat, Inc.",VSAT,IDR,152.97,1594019238000
28,First Trust Capital Strength ETF,FTCS,CNY,-76.18,1588743746000
29,iPath US Treasury 2-year Bear ETN,DTUS,RUB,-100.96,1603845387000
30,"Monarch Casino & Resort, Inc.",MCRI,SEK,-31.31,1581171142000
31,"MyoKardia, Inc.",MYOK,CNY,-10.48,1607443577000
32,"Gabelli Equity Trust, Inc. (The)",GAB,CNY,-175.96,1582508605000
33,"Celestica, Inc.",CLS,CNY,7.24,1583729521000
34,Union Pacific Corporation,UNP,BRL,-191.43,1587064720000
